This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Mon Nov 07 2016 20:05:15 GMT-0500 (Eastern Standard Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"TheChefette","@D_Goze_Amigos @StoneyDollas @joanisawesome I'm done https://t.co/Dl0dnZEXBh","Tue Nov 08 01:06:39 +0000 2016","Louisiana ✈ Atl  ✨","null","Tucker, GA"
"BizerkJerk","she's bisexual.","Tue Nov 08 01:06:40 +0000 2016","ATL","null","Georgia, USA"
"KTM_YT","Exactly 😂 let that hoe go to Chi town 💀 https://t.co/NX2Zt41wdL","Tue Nov 08 01:06:41 +0000 2016","7 City","null","Georgia, USA"
"ashlynnnnnnnn_","@benhull1112 congrats ben!!!!","Tue Nov 08 01:06:41 +0000 2016","Powder Springs, GA","null","Georgia, USA"
"LeqendarySTAR","This nigga said I'm tryna be an actor 😭😭💀💀 https://t.co/mVVvzq9XRk","Tue Nov 08 01:06:42 +0000 2016","STL ✈️ ATL ","null","Atlanta, GA"
"skylar_hayward","Don't feel right no mo'","Tue Nov 08 01:06:42 +0000 2016","snap: skylarhayward","null","Georgia, USA"
"Luvlylayy","@VoteTrumpPics Trump IS the Establishment!","Tue Nov 08 01:06:42 +0000 2016","null","null","Georgia, USA"
"ziakemia","Pray for me. Omw to 🏥","Tue Nov 08 01:06:43 +0000 2016","harris county","null","Georgia, USA"
"BrookeHolloman","I fuckin love cheesecake bruh","Tue Nov 08 01:06:43 +0000 2016","Fuquay-Varina, NC","null","North Carolina, USA"
"MelloStacks55","I did it all with my right hand","Tue Nov 08 01:06:43 +0000 2016","memphis","null","Georgia, USA"
"quali_teax3","I swear @JustShretha and I have the same obsession and love for our boyfriends😫❤️😂","Tue Nov 08 01:06:44 +0000 2016","wouldnt you like to know✨","null","McDonough, GA"
"_krissayy_","of course https://t.co/AaU4fMTjuq","Tue Nov 08 01:06:44 +0000 2016","probably sleep","null","Georgia, USA"
"ivxvixcv","thought it was just me https://t.co/DAVG18CLLU","Tue Nov 08 01:06:45 +0000 2016","Clayton County","null","Hampton, GA"
"__xMBR","Might As Well Finish This Homework 🙃","Tue Nov 08 01:06:45 +0000 2016"," #ArmyStrong✈️","null","North Carolina, USA"
"artesiababy","Yessss It's Finna Be Littttt https://t.co/N9wg8DdPrX","Tue Nov 08 01:06:45 +0000 2016","null","null","Georgia, USA"
