This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -122.34, 28.62, -59.41, 46.567Starting at this date and time  Tue Nov 08 2016 07:40:50 GMT-0500 (Eastern Standard Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"selfmademurmaid","New music @5pm today!! 🤘🏼","Tue Nov 08 12:40:54 +0000 2016","Chicago, IL","null","Chicago, IL"
"ciaamy","@RandPaul I proudly voted for you and Thomas Massie and of course Trump. #MakeAmericaGreatAgain","Tue Nov 08 12:40:54 +0000 2016","Kentucky USA","null","Cincinnati, OH"
"JeffHurley","nearly an 8 minute wait, and no flavored creamer for the complimentary coffee.  Voter suppression in full effect for Lancaster county today","Tue Nov 08 12:40:54 +0000 2016","Location: in my car...","null","Salunga, PA"
"landboi_","And see you long lost cousin? Lol love bay😂❤️ https://t.co/yubKzdut55","Tue Nov 08 12:40:53 +0000 2016","null","null","Saraland, AL"
"MaribelThoo","‼️ https://t.co/XLnP9QFMbU","Tue Nov 08 12:40:54 +0000 2016","sleep","null","Austintown, OH"
"laurencantey","Don't forget it's voting day, ppl!!! ❤️️🇺🇸","Tue Nov 08 12:40:54 +0000 2016","null","null","West Hattiesburg, MS"
"Mikamouth","He will release an avalanche of complaints, because he's a #WhinyLittleBitch https://t.co/DfxpZif2BV","Tue Nov 08 12:40:54 +0000 2016","Huntington WV","null","Huntington, WV"
"datmk","I'm a YouTube girl now so when I look at videos I see so many ladies with aliexpress hair and it looks so good. Like sooooooooooo good","Tue Nov 08 12:40:54 +0000 2016","null","null","Cleveland, OH"
"KatieKortnie","First one in the door, high fives on the way out! #VOTE #ElectionDay https://t.co/nYMMPRoCvi","Tue Nov 08 12:40:53 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"JoinBAYADA","If you're looking for work in #PinkHill, NC, check out this #job: https://t.co/jN2XS9qp6j #Nursing #Hiring","Tue Nov 08 12:40:54 +0000 2016","Moorestown, NJ","[object Object]","North Carolina, USA"
"tonyolinger","My vote is in.... @ Chamblee Civic Center https://t.co/IgTWmyyU0U","Tue Nov 08 12:40:54 +0000 2016","Atlanta, GA","[object Object]","Chamblee, GA"
"Hugh2D2","Wait... I thought they couldn't run political ads on the day of the election... WTF?","Tue Nov 08 12:40:54 +0000 2016","The bowling alley","null","Olathe, KS"
"EBbirdbath","Never trust anyone that tries to keep you from reading or voting. #ElectionDay","Tue Nov 08 12:40:54 +0000 2016","Baxter Springs, KS","null","Baxter Springs, KS"
"Jose0rellana64","Girl you're tripping https://t.co/THmq1R2lQC","Tue Nov 08 12:40:54 +0000 2016","Deltona, FL","null","Florida, USA"
"anon_10","@ABCLiz @SeniABC sorry it was a free concert  how dishonest can you get ???","Tue Nov 08 12:40:54 +0000 2016","null","null","Sikeston, MO"
"niapapii","First in line to vote this morning 📍","Tue Nov 08 12:40:54 +0000 2016","My Queendom✨","null","San Marcos, TX"
"chrissy_berens","@JudgeJeanine can't wait to vote the a.m our polls open at 9am getting my Trump vote on this morning!!!","Tue Nov 08 12:40:54 +0000 2016","Tennessee, USA","null","Tennessee, USA"
"Moni_Mons","Whatever your decision, #govote #voting #election2016 #fingerscrossed","Tue Nov 08 12:40:54 +0000 2016","Harrisburg, PA","null","Pennsylvania, USA"
"UnitedWayHunter","Use your voice! Get out there and vote! #ElectionDay","Tue Nov 08 12:40:54 +0000 2016","Toledo, OH","null","Millbury, OH"
"CougarBelieber8","4:38am...can't sleep.... $tressssssssssssss
🙀🙀🙀🙀🙀🙀🙀🙀

regrann from sextingwithjustin  -… https://t.co/4e8MKiwN0g","Tue Nov 08 12:40:54 +0000 2016","Las Vegas Strip, Las Vegas, NV","[object Object]","Las Vegas, NV"
"Timeria_","Nobody in my family wants me to work they all want me to focus on school . But I want a job so bad☹️️","Tue Nov 08 12:40:54 +0000 2016","College Station, TX","null","College Station, TX"
"HMSHostCareers","We're #hiring! Read about our latest #job opening here: Assistant F&amp;B Manager II - https://t.co/viMwrxzMg8 #restaurantlife #Newark, NJ","Tue Nov 08 12:40:55 +0000 2016","null","[object Object]","Newark, NJ"
"Robert_D_Negro","Lmao you don't have to vote dem or republican folks kill me with this we have no choice shit","Tue Nov 08 12:40:55 +0000 2016","Somewhere in Louisiana","null","New Orleans, LA"
"czorneboh","FARMS NOT PHARMS","Tue Nov 08 12:40:55 +0000 2016","United States","null","Detroit, MI"
"FuckTheFalcons","@ATLSportsNate hahahahahaha","Tue Nov 08 12:40:55 +0000 2016","West Bank Trash","null","New Orleans LA"
"hansensoftball","Took a bite on an apple this morning and my WHOLE DANG RETAINER BROKE","Tue Nov 08 12:40:55 +0000 2016","GJM.","null","Sweeny, TX"
"VespaGayPlaces","Go out and VOTE today!
#ElectionDay #myvote2016 COUNTS! 
@HornetApp @PepeYTeo @unicornbooty @cw19577 https://t.co/1O2bLSb7az","Tue Nov 08 12:40:55 +0000 2016","San Francisco, CA","null","Manhattan, NY"
