This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Thu Nov 03 2016 21:09:07 GMT-0400 (Eastern Daylight Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"MissLivvyy__","When you want to talk to someone but you not cause you've been drinkinggg","Fri Nov 04 01:09:49 +0000 2016","NYC||ATL","null","Georgia, USA"
"jannastricky","@makstrickland @JennaStricky you're just a weenie","Fri Nov 04 01:09:49 +0000 2016","Charlotte, NC","null","North Carolina, USA"
"okaygwyn","And he said he would drop the lowest test grade 🤔","Fri Nov 04 01:09:50 +0000 2016","nc","null","North Carolina, USA"
"sammysoxo","hate when people wanna all talk at once and over each other.","Fri Nov 04 01:09:50 +0000 2016","828 ","null","North Carolina, USA"
"PhyddleDD","@CharityOverhol2 Thank you for your follow. It's a pleasure to connect","Fri Nov 04 01:09:52 +0000 2016","Metro Atlanta, GA","null","Georgia, USA"
"paradisekayy","that be home by 3 , then put you straight to sleep 😉 https://t.co/PwdpY4XRdt","Fri Nov 04 01:09:53 +0000 2016","null","null","Georgia, USA"
"chloejane3700","@slezzzer THESE ARE SOME OF MY FAVORITE PICTURES https://t.co/EUIpsJowxE","Fri Nov 04 01:09:54 +0000 2016","probably drawing","null","North Carolina, USA"
"cailie_marie","I wish I could call my car keys like I can call my cell phone every time I lose it 🙃","Fri Nov 04 01:09:55 +0000 2016","null","null","Georgia, USA"
"Official_Kaikai","Never understood why people glorify having arguments in relationships.","Fri Nov 04 01:09:56 +0000 2016","null","null","Atlanta, GA"
"BaileyGHarp2","#JokersLive #punishmurr","Fri Nov 04 01:09:56 +0000 2016","King, NC","null","North Carolina, USA"
"MissLivvyy__","😭","Fri Nov 04 01:09:56 +0000 2016","NYC||ATL","null","Georgia, USA"
"GOOD_VIBES04","Hell yes https://t.co/woyk8ddNDO","Fri Nov 04 01:09:59 +0000 2016","706/334✈️","null","Georgia, USA"
"InaDaesWork","The ham and the plate under the cornbread. https://t.co/0W1xlu79k8","Fri Nov 04 01:09:59 +0000 2016"," In GODS hands ","null","Georgia, USA"
