This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Fri Nov 04 2016 20:56:57 GMT-0400 (Eastern Daylight Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"RHLegalJobs","Interested in a #job in #Atlanta, GA? This could be a great fit: https://t.co/XDNnPCbxb2 #RHLegalJobs #Legal #Hiring","Sat Nov 05 00:58:06 +0000 2016","null","[object Object]","Atlanta, GA"
"Dinkeldash","@GovMikeHuckabee @Honda175 Huck coolness level is epic https://t.co/Lz50Det1wK","Sat Nov 05 00:58:06 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"DYokley","Hard to believe that Isner and Sock are the best US men's tennis has to offer. Need another McEnroe","Sat Nov 05 00:58:08 +0000 2016","Garner, NC","null","North Carolina, USA"
"haydynbluee","everyone send me pics of your cats/dogs to cheer me up!! thanks in advance","Sat Nov 05 00:58:11 +0000 2016","null","null","North Carolina, USA"
"giltykiss","i love kara danvers","Sat Nov 05 00:58:11 +0000 2016","μ'sic forever♪♪♪♪♪♪♪♪♪","null","Georgia, USA"
"whoisdill","You do commissions? https://t.co/EcD6g102DO","Sat Nov 05 00:58:11 +0000 2016","Atlanta, GA","null","Union City, GA"
"Myrddin_Davies","#RememberWhenTrump followed the Bill of Rights?","Sat Nov 05 00:58:12 +0000 2016","null","null","Georgia, USA"
"Coach_Cub","@dallise_ me af","Sat Nov 05 00:58:12 +0000 2016","ATLANTA","null","Georgia, USA"
"MathewNoKnowles","@LowKei_ Metro came to work that night","Sat Nov 05 00:58:12 +0000 2016","a t l a n t a","null","Georgia, USA"
"godlyco","👽 trips to the moon 🌙","Sat Nov 05 00:58:14 +0000 2016","null","null","Georgia, USA"
"NeishaX3_","😭😭😭😭😭😭😭😭😭😂","Sat Nov 05 00:58:15 +0000 2016","null","null","Atlanta, GA"
"NCsteelersfan69","@CindieNolin1 47 yrs she was the old boss for 47 yrs too lol","Sat Nov 05 00:58:15 +0000 2016","underground bunker","null","North Carolina, USA"
"Gunwalkie","@PhoenniX_ 😂","Sat Nov 05 00:58:16 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"jefonseca04","Ignorant alert! https://t.co/jTBuybYQUI","Sat Nov 05 00:58:17 +0000 2016","atlanta ga","null","Mableton, GA"
"12livelarge","Must read:   Church say Hillary's mentor Saul Alinsky politics are a threat to America! https://t.co/zHi2yrCbY2","Sat Nov 05 00:58:17 +0000 2016","real in NC","null","North Carolina, USA"
"juhkiruhh_","I can make you fall in luv wit all these diamonds","Sat Nov 05 00:58:18 +0000 2016","912 ","null","Georgia, USA"
"Mariah_mmorris","WE FUCKED EITHER WAY https://t.co/FRipdR2sqx","Sat Nov 05 00:58:19 +0000 2016","Macon, GA","null","Georgia, USA"
"TheRealCarel","🎙.. @ Downtown Atlanta https://t.co/3iAPzwHoGh","Sat Nov 05 00:58:20 +0000 2016","Los Angeles, CA","[object Object]","Atlanta, GA"
"DC2Smoove","@trilloriginal I wish man lmaoo Ima get it soon I was talkin bout BOIII 😞😂","Sat Nov 05 00:58:21 +0000 2016","202 Raised.. ✈️ 404 payin","null","Jonesboro, GA"
"_ImBoldBitchhh","Hello 👂🏾 https://t.co/1AD1Wzmymg","Sat Nov 05 00:58:21 +0000 2016","Sandy Springs, GA","null","Sandy Springs, GA"
"steve6971","@CNBC Register FREE to Win Prizes https://t.co/X97r3o9KOt 🏈⚾️⚽️🏀 https://t.co/xZwnMrafan","Sat Nov 05 00:58:22 +0000 2016","NC","null","North Carolina, USA"
